strain,date,region_original,country_original,division,Ns
hCoV-19/France/PAC-IHU-18719-Nova1E/2021,2021-07-22,Europe,France,Provence-Alpes-Côte d'Azur,273
hCoV-19/Belgium/ULG-17460/2021,2021-07-23,Europe,Belgium,Brussels,0
hCoV-19/Belgium/ULG-17512/2021,2021-07-23,Europe,Belgium,Brussels,1922
hCoV-19/France/HDF-P068-21301M1011/2021,2021-07-23,Europe,France,Hauts de France,85
hCoV-19/France/PAC-IHU-20863_Nova1/2021,2021-07-23,Europe,France,Provence-Alpes-Côte d'Azur,239
hCoV-19/France/PAC-IHU-20958_Nova1/2021,2021-07-23,Europe,France,Provence-Alpes-Côte d'Azur,1
hCoV-19/Belgium/UZA-UA-48157225/2021,2021-07-23,Europe,Belgium,Antwerpen,0
hCoV-19/Belgium/UZA-UA-CV2252421842/2021,2021-07-24,Europe,Belgium,Antwerpen,0
hCoV-19/Italy/SIC-CQRC-2102206/2021,2021-07-24,Europe,Italy,Sicily,53
hCoV-19/Denmark/DCGC-137720/2021,2021-07-25,Europe,Denmark,Hovedstaden,0
hCoV-19/Denmark/DCGC-137886/2021,2021-07-25,Europe,Denmark,Hovedstaden,0
hCoV-19/Belgium/ULG-17483/2021,2021-07-25,Europe,Belgium,Liège,0
hCoV-19/Austria/IMBA_IMP-858_C03/2021,2021-07-25,Europe,Austria,Salzburg,297
hCoV-19/France/OCC-CHU-TLS-2120611529/2021,2021-07-25,Europe,France,Occitanie,0
hCoV-19/France/IDF-HMN-21072300314/2021,2021-07-25,Europe,France,Ile de France,803
hCoV-19/France/HDF-P102-21302M0607/2021,2021-07-25,Europe,France,Hauts de France,729
hCoV-19/Denmark/DCGC-137870/2021,2021-07-25,Europe,Denmark,Hovedstaden,345
hCoV-19/France/PAC-IHU-18901-Nova1E/2021,2021-07-25,Europe,France,Provence-Alpes-Côte d'Azur,0
hCoV-19/Germany/HH-hpi-p8353/2021,2021-07-25,Europe,Germany,Hamburg,0
hCoV-19/Denmark/DCGC-142802/2021,2021-07-26,Europe,Denmark,Midtjylland,0
hCoV-19/Switzerland/VD-CHUV-GEN5956/2021,2021-07-26,Europe,Switzerland,Vaud,0
hCoV-19/Belgium/ULG-17587/2021,2021-07-26,Europe,Belgium,Brussels,0
hCoV-19/England/PHEC-Q306QF46/2021,2021-07-26,Europe,United Kingdom,England,0
hCoV-19/France/PAC-HCL021140974401/2021,2021-07-26,Europe,France,Provence-Alpes-Côte d'Azur,164
hCoV-19/France/BFC-HMN-21082020538/2021,2021-07-26,Europe,France,Bourgogne-France-Comté,277
hCoV-19/Germany/TH-RKI-I-201622/2021,2021-07-26,Europe,Germany,Thuringia,0
hCoV-19/France/IDF-IPP19018/2021,2021-07-26,Europe,France,Ile de France,0
hCoV-19/France/GES-HCL021143464001/2021,2021-07-26,Europe,France,Grand Est,0
hCoV-19/Spain/VC-IBV-99033953/2021,2021-07-26,Europe,Spain,Comunitat Valenciana,527
hCoV-19/England/PHEC-V306VAFA/2021,2021-07-26,Europe,United Kingdom,England,0
hCoV-19/Austria/IMBA_IMP-859_E02/2021,2021-07-27,Europe,Austria,Salzburg,297
hCoV-19/Austria/IMBA_IMP-859_F05/2021,2021-07-27,Europe,Austria,Salzburg,297
hCoV-19/France/HDF-IPP19112/2021,2021-07-27,Europe,France,Hauts de France,0
hCoV-19/Italy/UMB-IZSGC-300915.1.8/2021,2021-07-27,Europe,Italy,Umbria,418
hCoV-19/France/GES-HMN-21082030455/2021,2021-07-27,Europe,France,Grand Est,351
hCoV-19/France/BFC-HMN-21082040431/2021,2021-07-27,Europe,France,Bourgogne-France-Comté,350
hCoV-19/Ireland/D-NVRL-M34IRL26933/2021,2021-07-27,Europe,Ireland,Dublin,1
hCoV-19/France/IDF-IPP19307/2021,2021-07-27,Europe,France,Ile de France,0
hCoV-19/France/CVL-IPP19451/2021,2021-07-27,Europe,France,Centre-Val de Loire,0
hCoV-19/France/IDF-IPP19515/2021,2021-07-27,Europe,France,Ile de France,56
hCoV-19/France/PDL-IPP19591/2021,2021-07-27,Europe,France,Pays de La Loire,0
hCoV-19/France/PDL-IPP19640/2021,2021-07-27,Europe,France,Pays de La Loire,0
hCoV-19/France/PDL-IPP19650/2021,2021-07-27,Europe,France,Pays de La Loire,0
hCoV-19/France/BRE-IPP19664/2021,2021-07-27,Europe,France,Bretagne,0
hCoV-19/France/IDF-IPP19939/2021,2021-07-27,Europe,France,Ile de France,0
hCoV-19/France/HDF-IPP19772/2021,2021-07-27,Europe,France,Hauts de France,0
hCoV-19/France/IDF-IPP20001/2021,2021-07-27,Europe,France,Ile de France,37
hCoV-19/Austria/CeMM14115/2021,2021-07-27,Europe,Austria,Vienna,569
hCoV-19/France/ARA-HCL021141462101/2021,2021-07-27,Europe,France,Auvergne-Rhône-Alpes,569
hCoV-19/France/NAQ-HCL021142579801/2021,2021-07-27,Europe,France,Nouvelle-Aquitaine,0
hCoV-19/France/NAQ-HCL021142584201/2021,2021-07-27,Europe,France,Nouvelle-Aquitaine,0
hCoV-19/Netherlands/UT-RIVM-50239/2021,2021-07-27,Europe,Netherlands,Utrecht,0
hCoV-19/Netherlands/UT-RIVM-50239/2021,2021-07-27,Europe,Netherlands,Utrecht,0
hCoV-19/England/MILK-1A509DC/2021,2021-07-28,Europe,United Kingdom,England,0
hCoV-19/Denmark/DCGC-140170/2021,2021-07-28,Europe,Denmark,Hovedstaden,34
hCoV-19/Denmark/DCGC-141409/2021,2021-07-28,Europe,Denmark,Hovedstaden,0
hCoV-19/Denmark/DCGC-142203/2021,2021-07-28,Europe,Denmark,Hovedstaden,0
hCoV-19/Denmark/DCGC-142693/2021,2021-07-28,Europe,Denmark,Hovedstaden,327
hCoV-19/Spain/CT-HUGTiPR024VY4B7/2021,2021-07-28,Europe,Spain,Catalunya,258
hCoV-19/France/PAC-IHU-19236_Nova1/2021,2021-07-28,Europe,France,Provence-Alpes-Côte d'Azur,0
hCoV-19/Germany/BE-RKI-I-195329/2021,2021-07-28,Europe,Germany,Berlin,0
hCoV-19/Finland/11783/2021,2021-07-28,Europe,Finland,Uusimaa,0
hCoV-19/Switzerland/TI-EOC-26092328/2021,2021-07-28,Europe,Switzerland,Ticino,30
hCoV-19/Switzerland/VS-ICH-2210762150/2021,2021-07-28,Europe,Switzerland,Valais,61
hCoV-19/England/PHEC-P308P08D/2021,2021-07-29,Europe,United Kingdom,England,14
hCoV-19/England/PHEC-P30BPA40/2021,2021-07-29,Europe,United Kingdom,England,13
hCoV-19/England/PHEC-P30BPAC8/2021,2021-07-29,Europe,United Kingdom,England,13
hCoV-19/England/PHEC-P30BPAE6/2021,2021-07-29,Europe,United Kingdom,England,13
hCoV-19/Denmark/DCGC-140635/2021,2021-07-29,Europe,Denmark,Hovedstaden,34
hCoV-19/Denmark/DCGC-141566/2021,2021-07-29,Europe,Denmark,Hovedstaden,0
hCoV-19/Denmark/DCGC-142507/2021,2021-07-29,Europe,Denmark,Hovedstaden,0
hCoV-19/Denmark/DCGC-143561/2021,2021-07-29,Europe,Denmark,Midtjylland,0
hCoV-19/Switzerland/GE-ETHZ-33603212/2021,2021-07-29,Europe,Switzerland,Geneva,0
hCoV-19/Switzerland/VD-ETHZ-33617028/2021,2021-07-29,Europe,Switzerland,Vaud,0
hCoV-19/France/OCC-CHU-TLS-2121014487/2021,2021-07-29,Europe,France,Occitanie,4864
hCoV-19/France/GES-HCL021143487501/2021,2021-07-29,Europe,France,Grand Est,0
hCoV-19/USA/SC-CDC-ASC210202642/2021,2021-07-29,North America,USA,South Carolina,21
hCoV-19/USA/SC-CDC-ASC210235971/2021,2021-07-29,North America,USA,South Carolina,127
hCoV-19/Denmark/DCGC-140193/2021,2021-07-30,Europe,Denmark,Midtjylland,0
hCoV-19/Denmark/DCGC-140501/2021,2021-07-30,Europe,Denmark,Hovedstaden,34
hCoV-19/Germany/NW-RKI-I-194586/2021,2021-07-30,Europe,Germany,North Rhine Westphalia,0
hCoV-19/Belgium/ULG-17548/2021,2021-07-30,Europe,Belgium,Liège,0
hCoV-19/England/MILK-1A7733B/2021,2021-07-30,Europe,United Kingdom,England,0
hCoV-19/England/PLYM-1A7196C/2021,2021-07-30,Europe,United Kingdom,England,0
hCoV-19/Italy/ABR-IZSGC-300386/2021,2021-07-30,Europe,Italy,Abruzzo,0
hCoV-19/Italy/ABR-IZSGC-300388/2021,2021-07-30,Europe,Italy,Abruzzo,5
hCoV-19/Belgium/ULG-17652/2021,2021-07-30,Europe,Belgium,Brussels,1
hCoV-19/Switzerland/VD-ETHZ-33626083/2021,2021-07-30,Europe,Switzerland,Vaud,0
hCoV-19/USA/TN-CDC-LC0155084/2021,2021-07-30,North America,USA,Tennessee,0
hCoV-19/Belgium/UZA-UA-48296145/2021,2021-07-30,Europe,Belgium,Mechelen,0
hCoV-19/USA/MA-MASPHL-04406/2021,2021-07-30,North America,USA,Massachusetts,285
hCoV-19/Netherlands/GR-RIVM-50875/2021,2021-07-30,Europe,Netherlands,Groningen,0
hCoV-19/Netherlands/GR-RIVM-50875/2021,2021-07-30,Europe,Netherlands,Groningen,0
hCoV-19/Sweden/20556527P/2021,2021-07-30,Europe,Sweden,Vastra Gotaland,62
hCoV-19/Denmark/DCGC-141889/2021,2021-07-31,Europe,Denmark,Hovedstaden,34
hCoV-19/Denmark/DCGC-143375/2021,2021-07-31,Europe,Denmark,Midtjylland,0
hCoV-19/England/MILK-1A8DE22/2021,2021-07-31,Europe,United Kingdom,England,0
hCoV-19/England/MILK-1A8DD34/2021,2021-07-31,Europe,United Kingdom,England,0
hCoV-19/Belgium/MBLGPF071594/2021,2021-07-31,Europe,Belgium,Brussels,0
hCoV-19/France/PAC-IHU-19603_Nova1/2021,2021-07-31,Europe,France,Provence-Alpes-Côte d'Azur,1
hCoV-19/France/IDF-HMN-21082020800/2021,2021-07-31,Europe,France,Ile de France,31
hCoV-19/France/IDF-HMN-21082030264/2021,2021-07-31,Europe,France,Ile de France,452
hCoV-19/France/IDF-HMN-21082010002/2021,2021-07-31,Europe,France,Ile de France,183
hCoV-19/France/HDF-P127-21306M0453/2021,2021-07-31,Europe,France,Hauts de France,0
hCoV-19/Belgium/ZNA_21598403/2021,2021-07-31,Europe,Belgium,Antwerpen,22
hCoV-19/France/BFC-HCL021143811601/2021,2021-07-31,Europe,France,Bourgogne-France-Comté,319
hCoV-19/Netherlands/NH-RIVM-50276/2021,2021-07-31,Europe,Netherlands,North Holland,0
hCoV-19/Netherlands/NH-RIVM-50276/2021,2021-07-31,Europe,Netherlands,North Holland,0
hCoV-19/Belgium/UGent-8450/2021,2021-07-31,Europe,Belgium,Gent,866
hCoV-19/Spain/CT-HCB-1011/2021,2021-07-31,Europe,Spain,Catalunya,1125
hCoV-19/USA/UT-UPHL-210901089745/2021,2021-07-31,North America,USA,Utah,0
hCoV-19/Belgium/CHUNamur13525920/2021,2021-08-01,Europe,Belgium,Hainaut,0
hCoV-19/Denmark/DCGC-143182/2021,2021-08-01,Europe,Denmark,Hovedstaden,0
hCoV-19/Belgium/UZA-UA-CV2078680391/2021,2021-08-01,Europe,Belgium,Antwerpen,0
hCoV-19/Belgium/UZA-UA-CV2082080546/2021,2021-08-01,Europe,Belgium,Antwerpen,0
hCoV-19/Denmark/DCGC-145391/2021,2021-08-01,Europe,Denmark,Syddanmark,0
hCoV-19/England/PHEC-Q308Q2A5/2021,2021-08-01,Europe,United Kingdom,England,15
hCoV-19/Belgium/ULG-17674/2021,2021-08-01,Europe,Belgium,Brussels,0
hCoV-19/Belgium/ULG-17675/2021,2021-08-01,Europe,Belgium,Brussels,0
hCoV-19/Belgium/ULG-17676/2021,2021-08-01,Europe,Belgium,Brussels,0
hCoV-19/Switzerland/SO-ETHZ-33630692/2021,2021-08-01,Europe,Switzerland,Solothurn,11
hCoV-19/France/PAC-IHU-21167_Nova1/2021,2021-08-01,Europe,France,Provence-Alpes-Côte d'Azur,40
hCoV-19/France/PAC-IHU-21269_Nova1/2021,2021-08-01,Europe,France,Provence-Alpes-Côte d'Azur,0
hCoV-19/Germany/BB-ChVir-LB-210806-4525/2021,2021-08-01,Europe,Germany,Brandenburg,607
hCoV-19/France/IDF-HMN-21082020792/2021,2021-08-01,Europe,France,Ile de France,8
hCoV-19/Italy/VEN-IZSVe-21RS8057-5_VI/2021,2021-08-01,Europe,Italy,Veneto,295
hCoV-19/Germany/HE-RKI-I-196633/2021,2021-08-01,Europe,Germany,Hesse,0
hCoV-19/Germany/HE-RKI-I-196649/2021,2021-08-01,Europe,Germany,Hesse,0
hCoV-19/Italy/VEN-IZSVe-21RS8051-3_PD/2021,2021-08-01,Europe,Italy,Veneto,0
hCoV-19/USA/CT-Yale-7189/2021,2021-08-01,North America,USA,Connecticut,274
hCoV-19/France/HDF-P129-21307C1776/2021,2021-08-01,Europe,France,Hauts de France,0
hCoV-19/Switzerland/BS-UHB-42976465/2021,2021-08-01,Europe,Switzerland,Basel-Stadt,0
hCoV-19/Belgium/UZA-UA-48385488/2021,2021-08-01,Europe,Belgium,Antwerpen,0
hCoV-19/England/PHEC-R307RA71/2021,2021-08-01,Europe,United Kingdom,England,256
hCoV-19/Finland/12152/2021,2021-08-01,Europe,Finland,Uusimaa,0
hCoV-19/France/OCC-CHU-TLS-2121311668/2021,2021-08-01,Europe,France,Occitanie,0
hCoV-19/Germany/BW-RKI-I-206814/2021,2021-08-01,Europe,Germany,Baden-Wuerttemberg,262
hCoV-19/Netherlands/FL-RIVM-51975/2021,2021-08-01,Europe,Netherlands,Flevoland,0
hCoV-19/Netherlands/FL-RIVM-51975/2021,2021-08-01,Europe,Netherlands,Flevoland,0
hCoV-19/USA/IN-CDC-ASC210206286/2021,2021-08-01,North America,USA,Indiana,4
hCoV-19/Belgium/UGent-8438/2021,2021-08-01,Europe,Belgium,Gent,1386
hCoV-19/Denmark/DCGC-143132/2021,2021-08-02,Europe,Denmark,Hovedstaden,3
hCoV-19/Denmark/DCGC-143905/2021,2021-08-02,Europe,Denmark,Hovedstaden,0
hCoV-19/Denmark/DCGC-144568/2021,2021-08-02,Europe,Denmark,Midtjylland,0
hCoV-19/Denmark/DCGC-145311/2021,2021-08-02,Europe,Denmark,Midtjylland,0
hCoV-19/Denmark/DCGC-145405/2021,2021-08-02,Europe,Denmark,Midtjylland,0
hCoV-19/Belgium/ULG-17610/2021,2021-08-02,Europe,Belgium,Liège,0
hCoV-19/Belgium/UZA-UA-CV2078170133/2021,2021-08-02,Europe,Belgium,Antwerpen,37
hCoV-19/Belgium/UZA-UA-CV2084343777/2021,2021-08-02,Europe,Belgium,Antwerpen,0
hCoV-19/Belgium/UZA-UA-CV2078613101/2021,2021-08-02,Europe,Belgium,Antwerpen,0
hCoV-19/Norway/Ahus-1209/2021,2021-08-02,Europe,Norway,Viken,569
hCoV-19/Belgium/MBLGPF104721/2021,2021-08-02,Europe,Belgium,Brussels,6
hCoV-19/Austria/IMBA_IMP-874_B02/2021,2021-08-02,Europe,Austria,Salzburg,297
hCoV-19/Switzerland/VD-CHUV-GEN6074/2021,2021-08-02,Europe,Switzerland,Vaud,258
hCoV-19/Germany/RP-RKI-I-198619/2021,2021-08-02,Europe,Germany,Rheinland-Pfalz,0
hCoV-19/France/HDF-P149-21311M0795/2021,2021-08-02,Europe,France,Hauts de France,0
hCoV-19/France/HDF-P155-21311M1045/2021,2021-08-02,Europe,France,Hauts de France,0
hCoV-19/France/HDF-P180-21312M0634/2021,2021-08-02,Europe,France,Hauts de France,0
hCoV-19/Belgium/UZA-UA-48414328/2021,2021-08-02,Europe,Belgium,Mechelen,213
hCoV-19/Sweden/1924286264/2021,2021-08-02,Europe,Sweden,Vastra Gotaland,260
hCoV-19/Germany/NW-RKI-I-204803/2021,2021-08-02,Europe,Germany,North Rhine Westphalia,518
hCoV-19/Netherlands/NH-RIVM-50964/2021,2021-08-02,Europe,Netherlands,North Holland,0
hCoV-19/Netherlands/NH-RIVM-50964/2021,2021-08-02,Europe,Netherlands,North Holland,0
hCoV-19/Gibraltar/EXP_04082021-1425049-22/2021,2021-08-02,Europe,United Kingdom,Gibraltar,4660
hCoV-19/Belgium/UGent-8546/2021,2021-08-02,Europe,Belgium,Gent,295
hCoV-19/Germany/NW-RKI-I-214570/2021,2021-08-02,Europe,Germany,North Rhine Westphalia,874
hCoV-19/Belgium/CHUNamur13529849/2021,2021-08-03,Europe,Belgium,Namur,295
hCoV-19/Denmark/DCGC-144939/2021,2021-08-03,Europe,Denmark,Hovedstaden,52
hCoV-19/Denmark/DCGC-145129/2021,2021-08-03,Europe,Denmark,Hovedstaden,0
hCoV-19/Denmark/DCGC-145506/2021,2021-08-03,Europe,Denmark,Hovedstaden,2005
hCoV-19/Belgium/ULG-17630/2021,2021-08-03,Europe,Belgium,Liège,0
hCoV-19/England/MILK-1AD57D5/2021,2021-08-03,Europe,United Kingdom,England,0
hCoV-19/Belgium/ULG-17719/2021,2021-08-03,Europe,Belgium,Brussels,0
hCoV-19/Denmark/DCGC-146170/2021,2021-08-03,Europe,Denmark,Midtjylland,0
hCoV-19/Belgium/Jessa_55-2131-000427/2021,2021-08-03,Europe,Belgium,Limburg BE,230
hCoV-19/Germany/NW-HHU-8909/2021,2021-08-03,Europe,Germany,North Rhine Westphalia,416
hCoV-19/USA/MA-CDCBI-CRSP_Z7DVYI4ZYJHM6QQ5/2021,2021-08-03,North America,USA,Massachusetts,863
hCoV-19/Netherlands/UT-UMCU-3104785/2021,2021-08-03,Europe,Netherlands,Utrecht,38
hCoV-19/Switzerland/VD-ETHZ-33651851/2021,2021-08-03,Europe,Switzerland,Vaud,228
hCoV-19/Italy/VEN-ULSS3GEN-7001740447_VE/2021,2021-08-03,Europe,Italy,Veneto,0
hCoV-19/Switzerland/ZH-UZH-IMV-3ba4d94b/2021,2021-08-03,Europe,Switzerland,Zürich,286
hCoV-19/Belgium/CHUNamur13530187/2021,2021-08-03,Europe,Belgium,Brussels,1185
hCoV-19/Italy/ABR-IZSGC-300952/2021,2021-08-03,Europe,Italy,Abruzzo,6
hCoV-19/Italy/VEN-IZSVe-21RS8064-2_PD/2021,2021-08-03,Europe,Italy,Veneto,295
hCoV-19/England/PHEC-R308R14E/2021,2021-08-03,Europe,United Kingdom,England,316
hCoV-19/France/IDF-IPP20724/2021,2021-08-03,Europe,France,Ile de France,0
hCoV-19/France/HDF-IPP20418/2021,2021-08-03,Europe,France,Hauts de France,0
hCoV-19/France/IDF-IPP20679/2021,2021-08-03,Europe,France,Ile de France,96
hCoV-19/France/IDF-IPP20683/2021,2021-08-03,Europe,France,Ile de France,0
hCoV-19/France/IDF-IPP20685/2021,2021-08-03,Europe,France,Ile de France,1
hCoV-19/France/IDF-IPP20721/2021,2021-08-03,Europe,France,Ile de France,0
hCoV-19/France/IDF-IPP20749/2021,2021-08-03,Europe,France,Ile de France,5
hCoV-19/France/IDF-IPP20752/2021,2021-08-03,Europe,France,Ile de France,0
hCoV-19/Belgium/ULG-18141/2021,2021-08-03,Europe,Belgium,Brussels,0
hCoV-19/Belgium/ULG-18183/2021,2021-08-03,Europe,Belgium,Liège,0
hCoV-19/Belgium/ULG-18184/2021,2021-08-03,Europe,Belgium,Liège,2
hCoV-19/Sweden/2922037953/2021,2021-08-03,Europe,Sweden,Stockholm,0
hCoV-19/Sweden/9586880016/2021,2021-08-03,Europe,Sweden,Stockholm,0
